level,points,death1,death2,death3,steps,date
15,78000,0,0,15,12596,2019-12-04 12:23:46
15,78000,8,0,15,17499,2019-12-04 12:34:08
15,78000,0,0,15,13883,2019-12-04 12:42:18
15,78000,0,0,15,11740,2019-12-04 12:49:15
15,78000,0,0,15,12903,2019-12-04 12:56:53
15,78000,0,0,15,10273,2019-12-04 13:59:09
15,78000,0,0,15,12050,2019-12-04 14:06:20
15,78000,3,6,15,10842,2019-12-04 14:12:49
15,78000,4,0,15,10818,2019-12-04 14:19:16
15,78000,0,0,15,12888,2019-12-04 14:26:53
15,78000,0,0,15,11190,2019-12-04 14:33:29
15,78000,0,0,15,11506,2019-12-04 14:40:20
15,78000,2,0,15,11713,2019-12-04 14:47:15
15,78000,0,0,15,10388,2019-12-04 14:53:23
15,78000,0,0,15,11633,2019-12-04 15:00:15
15,78000,6,13,15,13832,2019-12-04 15:08:25
15,78000,0,0,15,11596,2019-12-04 15:15:15
15,78000,0,0,15,11961,2019-12-04 15:22:19
15,78000,0,0,15,13573,2019-12-04 15:30:21
15,78000,0,0,15,13093,2019-12-04 15:38:06
15,78000,0,0,15,11735,2019-12-04 15:45:03
15,78000,0,0,15,12011,2019-12-04 15:52:09
15,78000,0,0,15,10342,2019-12-04 15:58:16
15,78000,7,0,15,12851,2019-12-04 16:05:53
15,78000,0,0,15,13114,2019-12-04 16:13:38
15,78000,0,0,15,11510,2019-12-04 16:20:29
15,78000,0,0,15,9104,2019-12-04 16:25:51
15,78000,0,0,15,12067,2019-12-04 16:33:00
15,78000,0,0,15,11087,2019-12-04 16:39:33
15,78000,0,0,15,10879,2019-12-04 16:46:04
15,78000,2,9,15,11071,2019-12-04 16:52:39
15,78000,0,0,15,11859,2019-12-04 16:59:43
15,78000,3,0,15,11274,2019-12-04 17:06:21
15,78000,0,0,15,12607,2019-12-04 17:13:48
15,78000,9,0,15,10169,2019-12-04 17:19:49
15,78000,0,0,15,12572,2019-12-04 17:27:14
15,78000,0,0,15,11818,2019-12-04 17:34:13
15,78000,0,0,15,9719,2019-12-04 17:39:58
15,78000,8,0,15,12381,2019-12-04 17:47:16
15,78000,0,0,15,12779,2019-12-04 17:54:49
15,78000,0,0,15,11185,2019-12-04 18:01:25
15,78000,0,0,15,12316,2019-12-04 18:08:41
15,78000,0,0,15,12482,2019-12-04 18:16:03
15,78000,0,0,15,10681,2019-12-04 18:22:21
